0xC76B	U+3084	U+F73A	# HIRAGANA LETTER YA
0xC76C	U+3085	U+F73B	# HIRAGANA LETTER SMALL YU
0xC76D	U+3086	U+F73C	# HIRAGANA LETTER YU
0xC76E	U+3087	U+F73D	# HIRAGANA LETTER SMALL YO
0xC76F	U+3088	U+F73E	# HIRAGANA LETTER YO
0xC770	U+3089	U+F73F	# HIRAGANA LETTER RA
0xC771	U+308A	U+F740	# HIRAGANA LETTER RI
0xC772	U+308B	U+F741	# HIRAGANA LETTER RU
0xC773	U+308C	U+F742	# HIRAGANA LETTER RE
0xC774	U+308D	U+F743	# HIRAGANA LETTER RO
0xC775	U+308E	U+F744	# HIRAGANA LETTER SMALL WA
0xC776	U+308F	U+F745	# HIRAGANA LETTER WA
0xC777	U+3090	U+F746	# HIRAGANA LETTER WI
0xC778	U+3091	U+F747	# HIRAGANA LETTER WE
0xC779	U+3092	U+F748	# HIRAGANA LETTER WO
0xC77A	U+3093	U+F749	# HIRAGANA LETTER N
0xC77B	U+30A1	U+F74A	# KATAKANA LETTER SMALL A
0xC77C	U+30A2	U+F74B	# KATAKANA LETTER A
0xC77D	U+30A3	U+F74C	# KATAKANA LETTER SMALL I
0xC77E	U+30A4	U+F74D	# KATAKANA LETTER I
0xC7A1	U+30A5	U+F74E	# KATAKANA LETTER SMALL U
0xC7A2	U+30A6	U+F74F	# KATAKANA LETTER U
0xC7A3	U+30A7	U+F750	# KATAKANA LETTER SMALL E
0xC7A4	U+30A8	U+F751	# KATAKANA LETTER E
0xC7A5	U+30A9	U+F752	# KATAKANA LETTER SMALL O
0xC7A6	U+30AA	U+F753	# KATAKANA LETTER O
0xC7A7	U+30AB	U+F754	# KATAKANA LETTER KA
0xC7A8	U+30AC	U+F755	# KATAKANA LETTER GA
0xC7A9	U+30AD	U+F756	# KATAKANA LETTER KI
0xC7AA	U+30AE	U+F757	# KATAKANA LETTER GI
0xC7AB	U+30AF	U+F758	# KATAKANA LETTER KU
0xC7AC	U+30B0	U+F759	# KATAKANA LETTER GU
0xC7AD	U+30B1	U+F75A	# KATAKANA LETTER KE
0xC7AE	U+30B2	U+F75B	# KATAKANA LETTER GE
0xC7AF	U+30B3	U+F75C	# KATAKANA LETTER KO
0xC7B0	U+30B4	U+F75D	# KATAKANA LETTER GO
0xC7B1	U+30B5	U+F75E	# KATAKANA LETTER SA
0xC7B2	U+30B6	U+F75F	# KATAKANA LETTER ZA
0xC7B3	U+30B7	U+F760	# KATAKANA LETTER SI
0xC7B4	U+30B8	U+F761	# KATAKANA LETTER ZI
0xC7B5	U+30B9	U+F762	# KATAKANA LETTER SU
0xC7B6	U+30BA	U+F763	# KATAKANA LETTER ZU
0xC7B7	U+30BB	U+F764	# KATAKANA LETTER SE
0xC7B8	U+30BC	U+F765	# KATAKANA LETTER ZE
0xC7B9	U+30BD	U+F766	# KATAKANA LETTER SO
0xC7BA	U+30BE	U+F767	# KATAKANA LETTER ZO
0xC7BB	U+30BF	U+F768	# KATAKANA LETTER TA
0xC7BC	U+30C0	U+F769	# KATAKANA LETTER DA
0xC7BD	U+30C1	U+F76A	# KATAKANA LETTER TI
0xC7BE	U+30C2	U+F76B	# KATAKANA LETTER DI
0xC7BF	U+30C3	U+F76C	# KATAKANA LETTER SMALL TU
