#Char	Unicode	SJIS
蛗	86D7	F96B
蛣	86E3	F96C
蛦	86E6	F96D
蛺	86FA	EE75
蛼	86FC	EE76
蛽	86FD	EE77
蜅	8705	F96F
蜇	8707	F970
蜋	870B	EE78
蜎	870E	F971
蜐	8710	F972
蜓	8713	F973
蜙	8719	F974
蜟	871F	F975
蜡	8721	F976
蜣	8723	F977
蜱	8731	F978
蜺	873A	F979
蜾	873E	F97A
蝀	8740	F97B
蝃	8743	F97C
蝑	8751	F97D
蝘	8758	F97E
蝤	8764	F980
蝥	8765	F981
蝱	8771	EE79
蝲	8772	F982
蝼	877C	F983
螇	8787	EE7A
螈	8788	EE7B
螉	8789	F987
螋	878B	F988
螓	8793	F989
螠	87A0	F98A
螧	87A7	F986
螬	87AC	EE7C
螭	87AD	EE7D
螵	87B5	EE7E
螾	87BE	F98D
蟁	87C1	F98F
蟎	87CE	F990
蟖	87D6	EE81
蟟	87DF	F992
蟣	87E3	F994
蟥	87E5	F995
蟦	87E6	F996
蟪	87EA	F997
蟫	87EB	F998
蟬	87EC	EE82
蟭	87ED	F999
蟵	87F5	F991
蠁	8801	F99A
蠃	8803	F99B
蠆	8806	EE83
蠇	8807	FBA1
蠊	880A	EE84
蠋	880B	F99C
蠐	8810	EE85
蠓	8813	F99D
蠔	8814	EE86
蠟	881F	EE87
蠨	8828	F99E
蠮	882E	F99F
蠲	8832	F9A0
蠼	883C	F9A1
衊	884A	F9A3
衘	8858	F9A4
衟	885F	F9A5
衤	8864	F9A6
衩	8869	F9A9
衯	886F	F9AB
袘	8898	EE88
袠	88A0	F9AC
袪	88AA	EE89
袼	88BC	F9AD
袽	88BD	F9AE
袾	88BE	F9AF
裀	88C0	F9B0
裊	88CA	EE8A
裎	88CE	EE8B
裑	88D1	F9B3
裒	88D2	F9B1
裓	88D3	F9B4
裛	88DB	F9B5
裰	88F0	F9B6
裱	88F1	F9B7
裵	88F5	EE8D
褁	8901	F9B9
褘	8918	EE90
褙	8919	EE91
褚	891A	EE92
褜	891C	EE8E
褧	8927	EE93
褰	8930	EE94
褲	8932	EE95
褷	8937	F9BB
褹	8939	EE96
襀	8940	EE97
襂	8942	F9BD
襅	8945	F9BE
襉	8949	F9BF
襢	8962	F9C2
覀	8980	F9C3
覉	8989	F9C4
覐	8990	F9C5
覔	8994	EE98
覟	899F	F9C6
覰	89B0	F9C7
覷	89B7	F9C8
觔	89D4	EE9A
觖	89D6	F9C9
觘	89D8	F9CA
觥	89E5	EE9B
觫	89EB	F9CB
觱	89F1	F9CD
觳	89F3	F9CE
觶	89F6	EE9C
觽	89FD	F9CF
觿	89FF	F9D0
訑	8A11	F9D2
訒	8A12	EE9D
訔	8A14	F9D3
訕	8A15	EE9E
訡	8A21	F9D5
訢	8A22	EE9F
訵	8A35	F9D6
訷	8A37	EEA0
訾	8A3E	F9D7
詅	8A45	F9D8
詇	8A47	EEA1
詍	8A4D	F9D9
詎	8A4E	EEA2
詘	8A58	F9DA
詝	8A5D	EEA3
詡	8A61	EEA4
詵	8A75	EEA5
詹	8A79	EEA6
誐	8A90	F9DC
誧	8AA7	EEA7
誮	8AAE	F9DB
誷	8AB7	F9DD
誾	8ABE	F9DE
諐	8AD0	EEA8
諗	8AD7	F9DF
諟	8ADF	EEA9
諴	8AF4	EEAA
諶	8AF6	EEAB
諼	8AFC	F9E0
謅	8B05	F9E3
謊	8B0A	F9E2
謍	8B0D	F9E4
謜	8B1C	F9E5
謟	8B1F	F9E6
謭	8B2D	F9E7
譃	8B43	F9E8
譆	8B46	EEAF
譑	8B51	F9EA
譓	8B53	FBAB
譔	8B54	EEB0
譙	8B59	EEB1
譞	8B5E	F9EB
譩	8B69	EEB2
譶	8B76	F9EC
譿	8B7F	F9ED
讁	8B81	F9EE
讋	8B8B	F9EF
讔	8B94	F9F0
讕	8B95	F9F1
讜	8B9C	F9F2
讝	8B9D	EEB3
讞	8B9E	F9F3
谹	8C39	F9F4
谽	8C3D	F9F6
豅	8C45	F9F9
豇	8C47	F9FA
豉	8C49	EEB4
豏	8C4F	F9FB
豔	8C54	F9FC
豗	8C57	FA40
豨	8C68	EEB5
豩	8C69	FA41
豭	8C6D	FA42
豳	8C73	FA43
貒	8C92	FA46
貓	8C93	FA45
貙	8C99	FA47
貛	8C9B	FA49
貤	8CA4	FA4A
賕	8CD5	FA4C
賖	8CD6	FA4B
賙	8CD9	FA4D
賡	8CE1	EEB7
賰	8CF0	FA4F
賱	8CF1	FA50
賴	8CF4	EEB8
賸	8CF8	EEB9
賾	8CFE	EEBA
贉	8D09	FA52
贎	8D0E	FA53
贒	8D12	EEBC
贛	8D1B	EEBD
赬	8D6C	FA54
赶	8D76	FBB0
趄	8D84	FA55
趕	8D95	FA56
趦	8DA6	FA57
趯	8DAF	EEBE
跆	8DC6	FA59
跈	8DC8	FA5A
跎	8DCE	EEBF
跑	8DD1	EEC0
跗	8DD7	EEC1
跙	8DD9	FA5B
跬	8DEC	FA5C
跽	8DFD	FA5F
踆	8E06	FA60
踌	8E0C	FA5D
踔	8E14	FA62
踖	8E16	FA63
踠	8E20	EEC2
踡	8E21	FA64
踢	8E22	FA65
踣	8E23	EEC3
踧	8E27	FA66
踶	8E36	FA69
踹	8E39	FA6A
踽	8E3D	EEC4
蹋	8E4B	FA6B
蹔	8E54	FA6C
蹢	8E62	FA6D
蹬	8E6C	FA6E
蹭	8E6D	FA6F
蹯	8E6F	FA70
蹰	8E70	EEC5
蹻	8E7B	EEC6
躘	8E98	FA71
躞	8E9E	FA72
躮	8EAE	FA73
躳	8EB3	FA74
躵	8EB5	FA75
躶	8EB6	FA76
躻	8EBB	FA77
軀	8EC0	EEC8
軏	8ECF	FBB2
軑	8ED1	FA79
軔	8ED4	FA7A
軹	8EF9	FA7C
軺	8EFA	EECA
輀	8F00	FA7E
輈	8F08	FA80
輗	8F17	FA81
輞	8F1E	EECB
輫	8F2B	FA82
輭	8F2D	EECC
輶	8F36	EECD
轀	8F40	FA83
轊	8F4A	FA84
轔	8F54	EECE
轘	8F58	FA85
辤	8FA4	FA87
辦	8FA6	EED0
辴	8FB4	FA88
辵	8FB5	EED1
辶	8FB6	FA8A
迁	8FC1	FA8C
迆	8FC6	FA8D
迊	8FCA	FA8F
迍	8FCD	FA90
迓	8FD3	FA91
迕	8FD5	FA92
迠	8FE0	FA93
迤	8FE4	EED2
迨	8FE8	EED3
迮	8FEE	EED4
迱	8FF1	FA94
迵	8FF5	FA95
迻	8FFB	FA96
适	9002	FA97
逈	9008	EED5
逌	900C	FA98
逭	902D	EED6
逷	9037	FA99
遃	9043	FA9B
遄	9044	FA9C
遝	905D	FA9D
遧	9067	FBB5
邅	9085	FAA0
邈	9088	EED8
邌	908C	FAA1
邐	9090	FAA2
邕	9095	EED9
邗	9097	EEDA
邙	9099	EEDB
邛	909B	EEDC
邡	90A1	FAA4
邢	90A2	EEDD
邰	90B0	FAA6
邳	90B3	EEDE
邶	90B6	FAA7
邾	90BE	EEDF
郃	90C3	FAA8
郄	90C4	EEE0
郅	90C5	EEE1
郇	90C7	EEE2
郈	90C8	FAA9
郗	90D7	EEE3
郜	90DC	FAAB
郝	90DD	EEE4
郞	90DE	EEE5
郟	90DF	FAAC
郫	90EB	FAB1
郯	90EF	EEE6
郲	90F2	FAAF
郴	90F4	EEE7
郶	90F6	FAAE
郾	90FE	FAB2
郿	90FF	FAB3
鄀	9100	FAB0
鄄	9104	FAB4
鄆	9106	FAB5
鄔	9114	EEE9
鄕	9115	EEEA
鄖	9116	EEEB
鄘	9118	FAB6
鄜	911C	FAB7
鄞	911E	FAB8
鄢	9122	EEEC
鄣	9123	EEED
鄧	9127	EEEE
鄯	912F	EEEF
鄱	9131	EEF0
鄴	9134	EEF1
鄷	9137	FAB9
鄹	9139	FABA
鄺	913A	FABB
鄽	913D	EEF2
酆	9146	FABC
酇	9147	FABD
酈	9148	EEF3
酗	9157	FABE
酙	9159	FABF
酛	915B	EEF4
酡	9161	FAC0
酤	9164	FAC1
酴	9174	FAC2
酹	9179	FAC3
醃	9183	EEF5
醅	9185	FAC4
醎	918E	FAC5
醞	919E	EEF6
醨	91A8	FAC6
醬	91AC	EEF7
醮	91AE	FAC7
醱	91B1	EEF8
醳	91B3	FAC8
醶	91B6	FAC9
醼	91BC	EEF9
釃	91C3	FACA
釄	91C4	FACB
釗	91D7	EEFA
釚	91DA	FACC
釞	91DE	FBBC
釤	91E4	EEFC
釥	91E5	EF40
釬	91EC	FACF
釭	91ED	EF41
釮	91EE	FAD0
釱	91F1	EF42
釻	91FB	EEFB
鈁	9201	FAD1
鈆	9206	FBC1
鈇	9207	EF43
鈊	920A	FAD2
鈐	9210	EF44
鈖	9216	FAD3
鈗	9217	FAD4
鈳	9233	FAD6
鈸	9238	EF45
鈹	9239	EF46
鈺	923A	EF47
鈼	923C	EF48
鉀	9240	EF49
鉂	9242	FAD7
鉃	9243	EF4A
鉇	9247	FAD8
鉊	924A	FAD9
鉎	924E	FADA
鉏	924F	EF4B
鉑	9251	FADB
鉖	9256	FADC
鉙	9259	FADD
鉠	9260	FADE
鉡	9261	FADF
鉥	9265	FAE0
鉧	9267	FAE1
鉨	9268	FAE2
鉷	9277	FBCD
鉸	9278	EF4C
鉼	927C	FAE5
鉽	927D	FAE6
鉿	927F	FAE7
銈	9288	EF4D
銉	9289	FAE8
銍	928D	FAE9
銗	9297	FAEA
銙	9299	FAEB
銟	929F	FAEC
銧	92A7	FAED
銫	92AB	FAEE
銲	92B2	FAF1
銿	92BF	FAF2
鋀	92C0	FAF3
鋂	92C2	EF4E
鋆	92C6	FAF4
鋋	92CB	EF4F
鋌	92CC	EF50
鋎	92CE	FAF5
鋐	92D0	FAF6
鋓	92D3	EF51
鋕	92D5	FBD4
鋗	92D7	FAF7
鋙	92D9	FAF8
鋠	92E0	EF52
鋥	92E5	FAF9
鋧	92E7	FAFA
鋷	92F7	FB41
鋹	92F9	FB42
鋻	92FB	FB43
鋿	92FF	EF53
錂	9302	FB44
錄	9304	EF54
錍	930D	FB45
錑	9311	FAFB
錕	9315	FB46
錝	931D	FB47
錞	931E	FB48
錟	931F	EF55
錡	9321	EF56
錥	9325	EF57
錧	9327	FB49
錩	9329	FB4A
鍇	9347	FB4D
鍈	9348	EF58
鍉	9349	EF59
鍊	934A	EF5A
鍑	9351	FB4E
鍗	9357	FB4F
鍚	935A	FB50
鍤	9364	EF5B
鍥	9365	EF5C
鍪	936A	EF5D
鍫	936B	FB51
鍰	9370	EF5E
鍱	9371	FB52
鍳	9373	FB53
鎈	9388	FB57
鎋	938B	FB58
鎏	938F	FB59
鎛	939B	EF5F
鎞	939E	FB5A
鎡	93A1	FB54
鎣	93A3	EF60
鎤	93A4	FBE1
鎺	93BA	EF61
鏁	93C1	FB5F
鏆	93C6	EF62
鏇	93C7	FB60
鏜	93DC	FB61
鏞	93DE	EF63
鏟	93DF	EF64
鏢	93E2	FB62
鏧	93E7	FB63
鏱	93F1	FB5E
鏵	93F5	FB5B
鏸	93F8	FBE4
鏻	93FB	FB68
鏽	93FD	EF66
鐄	9404	EF65
鐉	9409	FB64
鐏	940F	FB65
鐖	9416	FB66
鐗	9417	FB67
鐱	9431	FBE5
鐲	9432	FB69
鐳	9433	EF67
鐴	9434	FB6A
鐻	943B	FB6B
鑅	9445	FB6C
鑈	9448	FBE7
鑊	944A	EF68
鑣	9463	EF69
鑫	946B	EF6A
鑭	946D	FB6F
鑯	946F	FB70
鑱	9471	EF6B
鑲	9472	EF6C
镸	9578	FB71
镹	9579	FB72
閆	9586	FB73
閌	958C	FB74
閍	958D	FB75
閎	958E	EF6D
閒	9592	FBE8
閟	959F	EF6E
閦	95A6	EF6F
閩	95A9	EF70
閫	95AB	FB77
閬	95AC	EF71
閴	95B4	FB78
閶	95B6	EF72
閽	95BD	EF73
闈	95C8	FB7A
闋	95CB	EF74
闐	95D0	EF75
闓	95D3	EF76
闚	95DA	EF78
闞	95DE	EF79
阝	961D	FAA3
阬	962C	FB7D
阳	9633	FB7E
阴	9634	FB80
阼	963C	FB82
陁	9641	FB83
陘	9658	EF7A
陡	9661	FB84
隂	9682	FB86
隄	9684	EF7B
隚	969A	FB88
隝	969D	EF7D
隤	96A4	EF7E
隥	96A5	EF80
隩	96A9	FB8B
隯	96AF	FB8C
隳	96B3	FB8D
隺	96BA	FB8E
隽	96BD	FB8F
雒	96D2	EF81
雘	96D8	FB92
雚	96DA	FB93
雝	96DD	FB94
雞	96DE	EF82
雩	96E9	EF84
雯	96EF	EF85
霔	9714	FB96
霣	9723	FB97
霳	9733	EF86
霶	9736	FB99
霻	973B	EF87
靁	9741	FB9A
靃	9743	FBEF
靇	9747	FB9B
靍	974D	EF88
靎	974E	EF89
靏	974F	EF8A
靑	9751	FBF2
靕	9755	FB9C
靗	9757	FB9D
靚	975A	EF8B
靛	975B	FB9E
靪	976A	FB9F
靮	976E	EF8C
靳	9773	EF8D
鞕	9795	EF8E
鞖	9796	FBA2
鞚	979A	FBA3
鞞	979E	FBA4
鞢	97A2	FBA5
鞮	97AE	EF8F
鞱	97B1	FBA6
鞲	97B2	FBA7
鞺	97BA	EF90
鞾	97BE	FBA8
韁	97C1	EF91
韉	97C9	EF92
韌	97CC	FBA9
韑	97D1	FBAA
韔	97D4	FBAB
韘	97D8	FBAC
韙	97D9	FBAD
韛	97DB	EF94
韞	97DE	EF93
韡	97E1	FBAE
韱	97F1	FBAF
韴	97F4	EF95
頄	9804	FBB0
頊	980A	EF97
頍	980D	FBB1
頎	980E	FBB2
頔	9814	FBB3
頖	9816	FBB4
頞	981E	EF98
頣	9823	FBB7
頥	9825	FBBA
頫	982B	EF99
頰	9830	EF9A
頲	9832	FBB8
頳	9833	FBB9
顇	9847	FBBB
顒	9852	EF9C
顓	9853	EF9D
顖	9856	EF9E
顗	9857	EF9F
顙	9859	EFA0
顚	985A	EFA1
顥	9865	EFA3
顦	9866	FBBC
顬	986C	EFA4
颫	98AB	FBBD
颭	98AD	FBBE
颰	98B0	FBBF
颷	98B7	FBC1
颸	98B8	FBC2
颺	98BA	EFA5
颻	98BB	FBC3
颼	98BC	FBC4
颿	98BF	FBC5
飂	98C2	FBC6
飇	98C7	FBC7
飈	98C8	EFA6
飋	98CB	FBC8
飠	98E0	FBC9
飡	98E1	FBCB
飣	98E3	FBCC
飥	98E5	FBCD
飧	98E7	EFA7
飪	98EA	FBCE
飰	98F0	FBCF
飱	98F1	FBD0
飳	98F3	FBD1
餈	9908	FBD2
餖	9916	FBD5
餗	9917	FBD6
餚	991A	FBD8
餛	991B	FBD9
餜	991C	FBDA
餧	9927	FBF8
餱	9931	FBDC
餲	9932	FBDD
餳	9933	FBDE
餺	993A	FBDF
餻	993B	FBE0
餼	993C	FBE1
饀	9940	FBE2
饁	9941	FBE3
饆	9946	FBE4
饍	994D	FBE5
饎	994E	FBE6
饘	9958	EFA8
饜	995C	FBE7
饟	995F	FBE8
饠	9960	FBE9
馞	999E	EFA9
馣	99A3	FBEA
馦	99A6	FBEB
馹	99B9	FBEC
馽	99BD	FBED
馿	99BF	FBEE
駃	99C3	FBEF
駉	99C9	FBF0
駔	99D4	FBF1
駙	99D9	FBF2
駞	99DE	FBF3
駰	99F0	FBF5
駹	99F9	FBF6
駼	99FC	FBF7
騂	9A02	EFAA
騃	9A03	EFAB
騊	9A0A	FBF8
騑	9A11	FBF9
騖	9A16	FBFA
騚	9A1A	FBFB
騠	9A20	FBFC
騤	9A24	EFAC
騭	9A2D	EFAD
騮	9A2E	EFAE
騱	9A31	FC40
騶	9A36	FC41
騸	9A38	EFAF
驄	9A44	FC42
驊	9A4A	EFB0
驌	9A4C	FC43
驎	9A4E	EFB1
驒	9A52	EFB2
驘	9A58	FC44
骯	9AAF	FC46
骶	9AB6	EFB3
骷	9AB7	FC48
骹	9AB9	FC4A
髁	9AC1	EFB4
髃	9AC3	EFB5
髆	9AC6	FC4C
髎	9ACE	EFB6
髐	9AD0	FC4D
髒	9AD2	FC4E
髕	9AD5	FC4F
髖	9AD6	EFB7
髙	9AD9	FBFC
髜	9ADC	FC51
髠	9AE0	FC52
髥	9AE5	FC53
髩	9AE9	FC54
髹	9AF9	EFB8
鬂	9B02	EFB9
鬃	9B03	FC55
鬈	9B08	EFBA
鬌	9B0C	FC56
鬐	9B10	FC57
鬒	9B12	FC58
鬖	9B16	FC59
鬜	9B1C	FC5A
鬠	9B20	EFBB
鬫	9B2B	FC5B
鬭	9B2D	EFBD
鬳	9B33	FC5C
鬽	9B3D	FC5D
魋	9B4B	FC5F
魞	9B5E	EFBE
魣	9B63	FC60
魥	9B65	FC61
魦	9B66	EFC0
魫	9B6B	FC62
魬	9B6C	FC63
魲	9B72	EFC1
魳	9B73	FC64
魵	9B75	EFC2
魶	9B76	FC65
魷	9B77	FC66
魹	9B79	EFBF
鮄	9B84	EFC3
鮊	9B8A	EFC4
鮏	9B8F	EFC5
鮞	9B9E	EFC6
鮦	9BA6	FC67
鮧	9BA7	EFC7
鮬	9BAC	FC68
鮱	9BB1	FC69
鮲	9BB2	FC6C
鮸	9BB8	FC6D
鮻	9BBB	FC45
鮾	9BBE	FC6E
鯁	9BC1	EFC8
鯇	9BC7	FC6F
鯎	9BCE	EFC9
鯘	9BD8	FC71
鯝	9BDD	FC72
鯥	9BE5	EFCA
鯧	9BE7	FC73
鯪	9BEA	FC74
鯫	9BEB	FC75
鯮	9BEE	FC77
鯯	9BEF	FC76
鯳	9BF3	FC70
鯷	9BF7	FC7B
鯸	9BF8	EFCB
鯺	9BFA	FC79
鯽	9BFD	EFCC
鰀	9C00	EFCD
鰖	9C16	FC7D
鰘	9C18	FC7E
鰙	9C19	FC80
鰚	9C1A	FC81
鰝	9C1D	FC82
鰢	9C22	FC83
鰣	9C23	EFCE
鰧	9C27	FC84
鰩	9C29	FC85
鰪	9C2A	FC86
鰱	9C31	FC88
鰶	9C36	FC89
鰷	9C37	FC8A
鱁	9C41	EFCF
鱅	9C45	FC8B
鱉	9C49	FC8E
鱊	9C4A	FC8F
鱏	9C4F	EFD0
鱐	9C50	EFD1
鱓	9C53	EFD2
鱔	9C54	FC91
鱘	9C58	FC92
鱛	9C5B	FC93
鱜	9C5C	FC8C
鱝	9C5D	FC94
鱟	9C5F	FC95
鱣	9C63	EFD3
鱥	9C65	EFD4
鱩	9C69	FC96
鱪	9C6A	FC97
鱫	9C6B	FC98
鱭	9C6D	FC99
鱮	9C6E	FC9A
鱰	9C70	FC9B
鱲	9C72	FC9C
鱵	9C75	FC9D
鱷	9C77	EFD5
鱺	9C7A	FC9E
鳦	9CE6	FC9F
鳲	9CF2	FCA0
鴂	9D02	FCA2
鴋	9D0B	FCA1
鴑	9D11	FCA4
鴗	9D17	FCA5
鴘	9D18	FCA6
鴝	9D1D	EFD6
鴞	9D1E	EFD7
鴲	9D32	FCAA
鵂	9D42	FCAC
鵃	9D43	EFD8
鵇	9D47	EFD9
鵊	9D4A	FCAD
鵒	9D52	EFDA
鵟	9D5F	FCAE
鵢	9D62	FCAF
鵣	9D63	EFDB
鵩	9D69	FCB1
鵫	9D6B	FCB2
鵰	9D70	EFDC
鵳	9D73	FCB4
鵶	9D76	FCB5
鵷	9D77	FCB6
鵼	9D7C	EFDD
鵾	9D7E	FCB7
鶄	9D84	FCB8
鶊	9D8A	EFDE
鶍	9D8D	FCB9
鶖	9D96	EFDF
鶙	9D99	FCBA
鶡	9DA1	FCBB
鶬	9DAC	EFE1
鶵	9DB5	FCBD
鶹	9DB9	FCBE
鶼	9DBC	EFE2
鶽	9DBD	FCBF
鶿	9DBF	FCBC
鷀	9DC0	EFE0
鷃	9DC3	FCC0
鷇	9DC7	FCC1
鷉	9DC9	FCC2
鷖	9DD6	FCC3
鷗	9DD7	EFE3
鷚	9DDA	FCC4
鷟	9DDF	FCC5
鷠	9DE0	FCC6
鷣	9DE3	FCC7
鷧	9DE7	EFE5
鷴	9DF4	FCC8
鸂	9E02	FCCB
鸇	9E07	EFE6
鸊	9E0A	FCCA
鸍	9E0D	FCCC
鸕	9E15	EFE7
鸙	9E19	FCCD
鸜	9E1C	FCCE
鸝	9E1D	FCCF
鹻	9E7B	FCD0
鹼	9E7C	EFE8
麀	9E80	FCD2
麅	9E85	FCD3
麛	9E9B	FCD4
麞	9E9E	EFE9
麤	9EA4	EFEA
麨	9EA8	FCD5
麬	9EAC	EFEB
麯	9EAF	EFEC
麴	9EB4	EFED
麵	9EB5	EFEE
麽	9EBD	FCD7
黃	9EC3	EFEF
黑	9ED1	EFF0
黟	9EDF	FCD9
黧	9EE7	FCDA
黮	9EEE	FCDB
黿	9EFF	FCDC
鼂	9F02	FCDD
鼃	9F03	FCDF
鼐	9F10	EFF1
鼗	9F17	FCE0
鼙	9F19	FCE1
鼯	9F2F	FCE2
鼷	9F37	FCE3
鼹	9F39	EFF2
鼺	9F3A	FCE4
鼽	9F3D	FCE5
齁	9F41	FCE6
齅	9F45	FCE7
齆	9F46	FCE8
齓	9F53	FCE9
齕	9F55	FCEA
齗	9F57	EFF3
齘	9F58	FCEB
齝	9F5D	FCED
齩	9F69	FCEF
齭	9F6D	FCF1
齰	9F70	FCF2
齵	9F75	FCF3
龐	9F90	EFF4
龔	9F94	EFF5
龗	9F97	EFF6
龢	9FA2	EFF7
欄	F91D	EBB9
廊	F928	EAAC
朗	F929	EB6D
虜	F936	EE6E
殺	F970	EBC7
類	F9D0	EFA2
隆	F9DC	EF7C
﨎	FA0E	FA90
﨏	FA0F	886A
塚	FA10	8876
﨑	FA11	9892
晴	FA12	FAD8
﨓	FA13	F3F7
﨔	FA14	EB9A
凞	FA15	EC79
猪	FA16	EC8F
益	FA17	FB75
礼	FA18	FB7D
神	FA19	ED5B
祥	FA1A	ED5C
福	FA1B	ED60
靖	FA1C	FB86
精	FA1D	FB89
羽	FA1E	FB92
﨟	FA1F	EE59
蘒	FA20	F957
﨡	FA21	F964
諸	FA22	EEAC
﨣	FA23	FBB1
﨤	FA24	FA8E
逸	FA25	FBB4
都	FA26	EEE8
﨧	FA27	FBD3
﨨	FA28	FBDA
﨩	FA29	FBEA
飯	FA2A	FBF6
飼	FA2B	FBF7
館	FA2C	FBF9
鶴	FA2D	FC49
侮	FA30	87B6
僧	FA31	87C7
免	FA32	87CE
勉	FA33	87E1
勤	FA34	87E6
卑	FA35	87EC
喝	FA36	884B
嘆	FA37	884E
器	FA38	8855
塀	FA39	8879
墨	FA3A	887D
層	FA3B	9881
屮	FA3C	9882
悔	FA3D	EACE
慨	FA3E	EADA
憎	FA3F	EADC
懲	FA40	EADF
敏	FA41	EB47
既	FA42	EB4A
暑	FA43	EB62
梅	FA44	EB85
海	FA45	EBE7
渚	FA46	EBF5
漢	FA47	EC44
煮	FA48	EC74
爫	FA49	F5A7
琢	FA4A	ECA3
碑	FA4B	ED46
社	FA4C	ED52
祉	FA4D	ED53
祈	FA4E	ED56
祐	FA4F	ED57
祖	FA50	ED58
祝	FA51	ED5A
禍	FA52	ED5E
禎	FA53	ED5F
穀	FA54	ED6C
突	FA55	ED70
節	FA56	ED84
練	FA57	EDAC
縉	FA58	F7CE
繁	FA59	EDB1
署	FA5A	EDB8
者	FA5B	EDC2
臭	FA5C	EDD6
艹	FA5D	F894
艹	FA5E	F895
著	FA5F	EE46
褐	FA60	EE8F
視	FA61	EE99
謁	FA62	EEAD
謹	FA63	EEAE
賓	FA64	EEB6
贈	FA65	EEBB
辶	FA66	FA89
逸	FA67	EED7
難	FA68	EF83
響	FA69	EF96
頻	FA6A	EF9B
𠀋	2000B	87A0
𠂉	20089	F040
𠂢	200A2	F04A
𠂤	200A4	F04D
𠆢	201A2	F055
𠈓	20213	F065
𠌫	2032B	F090
𠍱	20371	F099
𠎁	20381	F097
𠏹	203F9	F141
𠑊	2044A	F144
𠔉	20509	F146
𠗖	205D6	F150
𠘨	20628	F151
𠝏	2074F	F157
𠠇	20807	F15E
𠠺	2083A	F160
𠢹	208B9	F169
𠥼	2097C	F171
𠦝	2099D	F172
𠫓	20AD3	F178
𠬝	20B1D	F17B
𠮟	20B9F	9873
𠵅	20D45	F197
𠷡	20DE1	F1A8
𠹤	20E64	F1B8
𠹭	20E6D	F1B0
𠺕	20E95	F1AF
𠽟	20F5F	F1BB
𡈁	21201	F1D7
𡈽	2123D	8861
𡉕	21255	F1DA
𡉴	21274	F1E1
𡉻	2127B	F1DC
𡋗	212D7	F1E9
𡋤	212E4	F1E8
𡋽	212FD	F1F0
𡌛	2131B	886B
𡌶	21336	F1F2
𡍄	21344	F1F3
𡏄	213C4	F244
𡑭	2146D	F251
𡑮	2146E	8880
𡗗	215D7	F25D
𡙇	21647	F266
𡚴	216B4	9883
𡜆	21706	F274
𡝂	21742	F275
𡢽	218BD	889B
𡧃	219C3	F29E
𡱖	21C56	F0AE
𡴭	21D2D	F0B5
𡵅	21D45	F0B6
𡵢	21D62	F0B9
𡵸	21D78	F0B8
𡶒	21D92	F0C3
𡶜	21D9C	F0BE
𡶡	21DA1	F0BD
𡶷	21DB7	F0C6
𡷠	21DE0	F0C8
𡸳	21E33	F0C9
𡸴	21E34	988E
𡼞	21F1E	F0D9
𡽶	21F76	F0E4
𡿺	21FFA	F0EA
𢅻	2217B	F2A0
𢈘	22218	FCD1
𢌞	2231E	F2A9
𢎭	223AD	F2AE
𢛳	226F3	F2CE
𢡛	2285B	F2E3
𢢫	228AB	F2EB
𢦏	2298F	F2F0
𢪸	22AB8	F343
𢭆	22B46	F351
𢭏	22B4F	F348
𢭐	22B50	F349
𢮦	22BA6	F354
𢰝	22C1D	F353
𢰤	22C24	F358
𢷡	22DE1	F375
𣆶	231B6	F3A2
𣇃	231C3	F39D
𣇄	231C4	EB59
𣇵	231F5	F3A1
𣍲	23372	F3B8
𣏐	233D0	F3C0
𣏒	233D2	F3BB
𣏓	233D3	F3BA
𣏕	233D5	F3C2
𣏚	233DA	F3C5
𣏟	233DF	F3C7
𣏤	233E4	F3C1
𣑊	2344A	F3D3
𣑋	2344B	F3D5
𣑑	23451	F3D4
𣑥	23465	F3D9
𣓤	234E4	F3F5
𣕚	2355A	F3F6
𣖔	23594	F449
𣗄	235C4	EB92
𣘸	23638	F461
𣘹	23639	F45E
𣘺	2363A	F462
𣙇	23647	F45F
𣜌	2370C	F478
𣜜	2371C	F46D
𣜿	2373F	EBA7
𣝣	23763	EBB0
𣝤	23764	F481
𣟧	237E7	F48A
𣟿	237FF	F489
𣠤	23824	F490
𣠽	2383D	F495
𣪘	23A98	F4A1
𣱿	23C7F	F4B2
𣳾	23CFE	EBDE
𣴀	23D00	F4C7
𣴎	23D0E	F7F3
𣵀	23D40	F4DA
𣷓	23DD3	F4DE
𣷹	23DF9	F4DD
𣷺	23DFA	F4DC
𣽾	23F7E	F551
𤂖	24096	F566
𤄃	24103	F56C
𤇆	241C6	F581
𤇾	241FE	F584
𤎼	243BC	F5A0
𤘩	24629	F5B1
𤚥	246A5	F5B7
𤟱	247F1	EC8C
𤢖	24896	F5D1
𤩍	24A4D	F5F9
𤭖	24B56	F64D
𤭯	24B6F	F64F
𤰖	24C16	F654
𤴔	24D14	F663
𤸎	24E0E	F67C
𤸷	24E37	F681
𤹪	24E6A	F686
𤺋	24E8B	F689
𥁊	2504A	F695
𥁕	25055	F697
𥄢	25122	F69A
𥆩	251A9	F69F
𥇍	251CD	F6A2
𥇥	251E5	F6A1
𥈞	2521E	F6A6
𥉌	2524C	F6AA
𥐮	2542E	F6BB
𥒎	2548E	ECFC
𥓙	254D9	F6C6
𥔎	2550E	ED48
𥖧	255A7	F6D9
𥝱	25771	ED66
𥞩	257A9	F6F3
𥞴	257B4	F6F4
𥧄	259C4	ED73
𥧔	259D4	F751
𥫣	25AE3	F75D
𥫤	25AE4	F75C
𥫱	25AF1	F75F
