#台語教典 = 教育部《臺灣閩南語常用詞辭典》 https://twblg.dict.edu.tw/
#客語教典 = 教育部《臺灣客家語常用詞辭典》 https://hakka.dict.edu.tw/
#以上為 創用CC 姓名標示-禁止改作 3.0 授權
#非屬以上兩典，標註有「再會豆腐字」 的字，來自 https://tauhu.tw/jit-tsi/ 蒐集的結果
#Char	Unicode	Big5	Memo
像	50CF	V	台語教典、客語教典
僑	50D1	V	台語教典、客語教典
僕	50D5	V	台語教典、客語教典
僚	50DA	V	台語教典、客語教典
僥	50E5	V	台語教典、客語教典
僧	50E7	V	台語教典、客語教典
僫	50EB		台語教典
僭	50ED	V	台語教典
僮	50EE	V	客語教典
僱	50F1	V	客語教典
僵	50F5	V	台語教典
價	50F9	V	台語教典、客語教典
僻	50FB	V	台語教典、客語教典
儀	5100	V	台語教典、客語教典
億	5104	V	台語教典、客語教典
儆	5106	V	客語教典
儉	5109	V	台語教典、客語教典
儑	5111	V	台語教典
儒	5112	V	台語教典、客語教典
儕	5115	V	客語教典
儘	5118	V	台語教典、客語教典
償	511F	V	台語教典、客語教典
儡	5121	V	台語教典
優	512A	V	台語教典、客語教典
儱	5131	V	台語教典
儲	5132	V	台語教典、客語教典
儳	5133	V	台語教典
儼	513C	V	台語教典
允	5141	V	台語教典、客語教典
元	5143	V	台語教典、客語教典
兄	5144	V	台語教典、客語教典
充	5145	V	台語教典、客語教典
兆	5146	V	台語教典、客語教典
兇	5147	V	台語教典、客語教典
先	5148	V	台語教典、客語教典
光	5149	V	台語教典、客語教典
克	514B	V	台語教典、客語教典
兌	514C	V	台語教典、客語教典
免	514D	V	台語教典、客語教典
兒	5152	V	台語教典、客語教典
兔	5154	V	台語教典、客語教典
兜	515C	V	台語教典、客語教典
入	5165	V	台語教典、客語教典
內	5167	V	台語教典、客語教典
全	5168	V	台語教典、客語教典
兩	5169	V	台語教典、客語教典
八	516B	V	台語教典、客語教典
公	516C	V	台語教典、客語教典
六	516D	V	台語教典、客語教典
兮	516E	V	客語教典
共	5171	V	台語教典、客語教典
兵	5175	V	台語教典、客語教典
其	5176	V	台語教典、客語教典
具	5177	V	台語教典、客語教典
典	5178	V	台語教典、客語教典
兼	517C	V	台語教典、客語教典
冀	5180	V	客語教典
冇	5187	V	台語教典、客語教典
冉	5189	V	客語教典
冊	518A	V	台語教典、客語教典
再	518D	V	台語教典、客語教典
冒	5192	V	台語教典、客語教典
冗	5197	V	台語教典、客語教典
冠	51A0	V	台語教典、客語教典
冤	51A4	V	台語教典、客語教典
冥	51A5	V	台語教典、客語教典
冬	51AC	V	台語教典、客語教典
冰	51B0	V	台語教典、客語教典
冶	51B6	V	台語教典、客語教典
冷	51B7	V	台語教典、客語教典
冽	51BD	V	客語教典
凃	51C3		再會豆腐字：台語閱讀越懂
准	51C6	V	台語教典、客語教典
凊	51CA	V	台語教典
凋	51CB	V	台語教典、客語教典
凌	51CC	V	台語教典、客語教典
凍	51CD	V	台語教典、客語教典
凜	51DC	V	客語教典
凝	51DD	V	台語教典、客語教典
凡	51E1	V	台語教典、客語教典
凰	51F0	V	台語教典、客語教典
凱	51F1	V	台語教典、客語教典
凳	51F3	V	客語教典
凴	51F4		客語教典
凶	51F6	V	台語教典、客語教典
凸	51F8	V	客語教典
凹	51F9	V	台語教典、客語教典
出	51FA	V	台語教典、客語教典
函	51FD	V	台語教典、客語教典
刀	5200	V	台語教典、客語教典
刁	5201	V	台語教典、客語教典
分	5206	V	台語教典、客語教典
切	5207	V	台語教典、客語教典
刈	5208	V	客語教典
刊	520A	V	台語教典、客語教典
刎	520E	V	客語教典
刐	5210	V	台語教典
刑	5211	V	台語教典、客語教典
划	5212	V	台語教典、客語教典
刓	5213	V	客語教典
列	5217	V	台語教典、客語教典
刜	521C	V	台語教典
初	521D	V	台語教典、客語教典
刣	5223		台語教典、客語教典
判	5224	V	台語教典、客語教典
別	5225	V	台語教典、客語教典
刨	5228	V	客語教典
利	5229	V	台語教典、客語教典
刪	522A	V	台語教典、客語教典
刮	522E	V	台語教典、客語教典
到	5230	V	台語教典、客語教典
制	5236	V	台語教典、客語教典
刷	5237	V	台語教典、客語教典
券	5238	V	台語教典、客語教典
刺	523A	V	台語教典、客語教典
刻	523B	V	台語教典、客語教典
剁	5241	V	台語教典、客語教典
剃	5243	V	台語教典、客語教典
則	5247	V	台語教典、客語教典
剉	5249	V	台語教典
削	524A	V	台語教典、客語教典
剋	524B	V	台語教典、客語教典
剌	524C	V	台語教典
前	524D	V	台語教典、客語教典
剔	5254	V	台語教典、客語教典
剖	5256	V	台語教典
剛	525B	V	台語教典、客語教典
剝	525D	V	台語教典、客語教典
剩	5269	V	台語教典、客語教典
剪	526A	V	台語教典、客語教典
副	526F	V	台語教典、客語教典
割	5272	V	台語教典、客語教典
創	5275	V	台語教典、客語教典
剷	5277	V	台語教典、客語教典
剺	527A	V	台語教典
剾	527E		台語教典
剿	527F	V	台語教典、客語教典
劃	5283	V	台語教典、客語教典
劇	5287	V	台語教典、客語教典
劈	5288	V	台語教典、客語教典
劉	5289	V	台語教典、客語教典
劊	528A	V	客語教典
劌	528C	V	台語教典
劍	528D	V	台語教典、客語教典
劑	5291	V	台語教典、客語教典
力	529B	V	台語教典、客語教典
功	529F	V	台語教典、客語教典
加	52A0	V	台語教典、客語教典
劣	52A3	V	台語教典、客語教典
助	52A9	V	台語教典、客語教典
努	52AA	V	台語教典、客語教典
劫	52AB	V	台語教典、客語教典
劾	52BE	V	客語教典
勁	52C1	V	台語教典
勃	52C3	V	台語教典、客語教典
勇	52C7	V	台語教典、客語教典
勉	52C9	V	台語教典、客語教典
勍	52CD	V	台語教典
勒	52D2	V	台語教典、客語教典
動	52D5	V	台語教典、客語教典
勘	52D8	V	台語教典、客語教典
務	52D9	V	台語教典、客語教典
勛	52DB	V	客語教典
勝	52DD	V	台語教典、客語教典
勞	52DE	V	台語教典、客語教典
募	52DF	V	台語教典、客語教典
勢	52E2	V	台語教典、客語教典
勤	52E4	V	台語教典、客語教典
勥	52E5		台語教典
勳	52F3	V	台語教典
勵	52F5	V	台語教典、客語教典
勸	52F8	V	台語教典、客語教典
勺	52FA	V	客語教典
勻	52FB	V	台語教典、客語教典
勼	52FC	V	台語教典、客語教典
勾	52FE	V	台語教典、客語教典
勿	52FF	V	台語教典、客語教典
包	5305	V	台語教典、客語教典
匆	5306	V	台語教典、客語教典
匈	5308	V	客語教典
匏	530F	V	台語教典
化	5316	V	台語教典、客語教典
北	5317	V	台語教典、客語教典
匙	5319	V	台語教典、客語教典
匠	5320	V	台語教典、客語教典
匡	5321	V	台語教典、客語教典
匣	5323	V	客語教典
匧	5327		再會豆腐字：客語認證詞彙
匪	532A	V	台語教典、客語教典
匯	532F	V	台語教典、客語教典
匱	5331	V	客語教典
匹	5339	V	台語教典、客語教典
匼	533C	V	台語教典
匾	533E	V	台語教典、客語教典
匿	533F	V	台語教典、客語教典
區	5340	V	台語教典、客語教典
十	5341	V	台語教典、客語教典
千	5343	V	台語教典、客語教典
升	5347	V	台語教典、客語教典
午	5348	V	台語教典、客語教典
卉	5349	V	客語教典
半	534A	V	台語教典、客語教典
卌	534C	V	台語教典
卑	5351	V	台語教典、客語教典
卒	5352	V	台語教典、客語教典
卓	5353	V	台語教典、客語教典
協	5354	V	台語教典、客語教典
南	5357	V	台語教典、客語教典
博	535A	V	台語教典、客語教典
卜	535C	V	台語教典、客語教典
占	5360	V	台語教典、客語教典
卡	5361	V	台語教典、客語教典
卦	5366	V	台語教典、客語教典
卯	536F	V	台語教典、客語教典
印	5370	V	台語教典、客語教典
危	5371	V	台語教典、客語教典
即	5373	V	台語教典、客語教典
却	5374		客語教典
卵	5375	V	台語教典、客語教典
卷	5377	V	台語教典、客語教典
卸	5378	V	台語教典、客語教典
卻	537B	V	台語教典、客語教典
卿	537F	V	台語教典、客語教典
厄	5384	V	台語教典
厘	5398	V	台語教典
厚	539A	V	台語教典、客語教典
厝	539D	V	台語教典
原	539F	V	台語教典、客語教典
厥	53A5	V	客語教典
厭	53AD	V	台語教典、客語教典
厲	53B2	V	台語教典、客語教典
去	53BB	V	台語教典、客語教典
參	53C3	V	台語教典、客語教典
又	53C8	V	台語教典、客語教典
叉	53C9	V	台語教典、客語教典
及	53CA	V	台語教典、客語教典
友	53CB	V	台語教典、客語教典
反	53CD	V	台語教典、客語教典
叔	53D4	V	台語教典、客語教典
取	53D6	V	台語教典、客語教典
受	53D7	V	台語教典、客語教典
叛	53DB	V	台語教典、客語教典
叡	53E1	V	台語教典
叢	53E2	V	台語教典、客語教典
口	53E3	V	台語教典、客語教典
古	53E4	V	台語教典、客語教典
句	53E5	V	台語教典、客語教典
另	53E6	V	台語教典、客語教典
叨	53E8	V	台語教典、客語教典
叩	53E9	V	台語教典、客語教典
只	53EA	V	台語教典、客語教典
